,A̱o,Trimestre,Ingresos (miles de pesos),Periodo
0,2024,1,280419124.08,Ene-Mar 2024
1,2023,4,167376014.8,Oct-Dic 2023
2,2023,3,133106593.41,Jul-Sept 2023
3,2023,2,118060280.28,Jun-Mar 2023
4,2033,1,104134992.81,Ene-Mar 2023
5,2022,4,72443482.9891497,Oct-Dic 2022
6,2022,3,64086784.3305304,Jul-Sept 2022
7,2022,2,60419500.6232803,Abr-Jun 2022
8,2022,1,55219313.0146503,Ene-Mar 2022
9,2021,4,45467887.16501248,Oct-Dic 2021
10,2021,3,42999944.292822465,Jul-Sept 2021
11,2021,2,38239666.63354247,Abr-Jun 2021
12,2021,1,36676371.36239245,Ene-Mar 2021
13,2020,4,33539702.716311768,Oct-Dic 2020
14,2020,3,31997444.530699246,Jul-Sept 2020
15,2020,2,32102475.991463635,Abr-Jun 2020
16,2020,1,29946216.452049132,Ene-Mar 2020
17,2019,4,24169250.699015297,Oct-Dic 2019
18,2019,3,21652748.444642507,Jul-Sept 2019
19,2019,2,20743117.694006097,Abr-Jun 2019
20,2019,1,20207413.77085243,Ene-Mar 2019
21,2018,4,16637686.589009605,Oct-Dic 2018
22,2018,3,15410980.692582969,Jul-Sept 2018
23,2018,2,14319467.460713817,Abr-Jun 2018
24,2018,1,13171459.230893355,Ene-Mar 2018
25,2017,4,11226127.38858,Oct-Dic 2017
26,2017,3,10065997.86215,Jul-Sept 2017
27,2017,2,9678646.92829,Abr-Jun 2017
28,2017,1,8701201.42137,Ene-Mar 2017
29,2016,4,7483980.393279007,Oct-Dic 2016
30,2016,3,6912441.538856647,Jul-Sept 2016
31,2016,2,6534240.597500004,Abr-Jun 2016
32,2016,1,5936844.886499999,Ene-Mar 2016
33,2015,4,5376899.206,Oct-Dic 2015
34,2015,3,5153738.8843600005,Jul-Sept 2015
35,2015,2,4701790.719660001,Abr-Jun 2015
36,2015,1,4876385.315070001,Ene-Mar 2015
37,2014,4,3950440.78037,Oct-Dic 2014
38,2014,3,3478637.7427996206,Jul-Sept 2014
39,2014,2,3270816.20391,Abr-Jun 2014
40,2014,1,2984054.2087800005,Ene-Mar 2014
